	NSGAII	SPEA2	CMAES
0	53113.81984347152	53083.117237470346	52989.1216672305
1	53105.870703439	52993.32589908014	52990.20546760783
2	53115.613897199975	53115.15333985668	53094.11282980652
3	53117.06930695847	53114.80697775539	52804.97782951407
4	53113.480690020486	53104.826487763465	53031.426832092926
5	53077.12223768234	53113.998134405	52995.08280269429
6	53114.47063415952	53088.062212426215	53073.52352438076
7	53114.229323872016	53114.959064185285	53003.72599434108
8	53116.41291111292	53106.93963974528	53097.45904389769
9	53115.13271583943	53105.68870782852	52925.08440351419
10	53017.05869979644	53115.49854611	53091.29756177217
11	53012.66966066253	53111.9049996275	52914.9184122337
12	53115.42850863107	53107.3947447238	52871.805528678
13	53115.61119446205	53114.36231281079	52681.83932428062
14	53114.59320938948	53023.51567548723	52544.37538941577
15	53115.8519521883	53111.64027953148	53045.96741330624
16	53114.89093099327	53117.15134196206	53045.435694389045
17	53094.27634969121	53116.29430336424	52792.494507700205
18	53115.90728368377	53113.97459003155	53085.60746754333
19	53115.419828617945	53115.77465556725	53067.9457470309
20	53044.139493653725	53115.25363118338	53082.04763646069
21	53053.38153991239	53099.28422478214	53017.54149731691
22	53115.7011502441	53110.458467240445	52982.30858034454
23	53115.76297692233	53114.090028177925	52505.271490326384
24	53110.70501431916	53061.72394195572	52598.21558864415
25	53115.46143197178	53111.12001242768	53111.74706943543
26	53082.30185262812	53108.379889565054	53052.86244268343
27	53057.81723403212	53112.34432734962	52740.50241413154
28	53115.2166188173	53112.48199773673	52452.81687683938
29	53085.609549019486	53114.28262876725	53044.361864842125
