	NSGAII	SPEA2	CMAES
0	508240177.5480645	508192950.8137888	507956209.8310609
1	508109671.53973657	508240411.7766841	507623764.0270833
2	508068071.2866912	508220787.3376408	507365260.7420036
3	508205049.4182368	508248855.424238	507224298.67602736
4	507724598.6113064	508066803.1754152	507420016.6266907
5	508246292.047091	507987922.9364253	507648048.7301343
6	508245427.9450547	508235034.1373038	507264259.667696
7	508246092.5058185	508163000.57503545	507611310.6089746
8	508247653.8132063	507977413.51065147	507324955.4810129
9	508220656.2154708	508067370.8125152	507633680.64657474
10	508211453.755772	508209968.6000561	506807845.52667487
11	508228618.2354412	508023125.7694731	507334414.98089546
12	508245141.17145866	508179893.6818682	507483745.388437
13	508238104.6587032	508135657.2700927	507116279.445333
14	508179742.6911864	507962841.7220269	506807689.2869843
15	508249252.83896136	508102477.1841409	506406619.9633381
16	508225544.3153073	508029990.94848096	507720320.3930904
17	508246656.0012152	507796827.0856293	506664517.3584668
18	508185305.8988725	508232584.9515976	507132038.4278456
19	507656056.44063807	508241296.4300757	507193304.5458898
20	508074078.5663818	508219996.98223823	507563195.4966012
21	508031479.2596233	507946573.077196	507459368.1205014
22	508046437.5862032	508168460.8932371	506763822.8859997
23	508129540.69953936	508246808.3589374	506259915.6614994
24	507959004.9864004	508120923.6811011	507003083.4871133
25	508091617.0246543	508248500.1559024	507420869.2129578
26	508242616.7519396	508193797.19379085	507112742.96456623
27	508211044.9472197	508239031.8520606	507265668.53150296
28	508204044.16082287	508206842.6929023	507298812.85355353
29	508225321.5964373	508112465.1130399	507206958.969444
