	NSGAII	SPEA2	CMAES
0	131701963.38052692	131578018.870581	131048782.91433692
1	131702332.26654623	131675217.514148	131288778.8819359
2	131698733.54084945	131673162.1281286	130980761.01478396
3	131611417.24891631	131625850.46960336	131173868.04770304
4	131702195.2747618	131651920.39414509	131185213.48217224
5	131701136.42182603	131622812.45189236	131448183.94037949
6	131681073.06742492	131683887.88583057	131095191.93810797
7	131702454.71129452	131646918.96515492	131445652.5958068
8	131665080.86540452	131700878.43851157	131011388.67370076
9	131554762.6799374	131685205.3371587	130852350.14694545
10	131698359.54792371	131531370.82137556	131350619.96034025
11	131702422.75509618	131652396.16194326	131016519.89611286
12	131702213.9865315	131698833.10908994	131243487.85402729
13	131702456.06228198	131686859.26260474	131409515.68045306
14	131664671.05744016	131702380.05395377	131365285.8687439
15	131701450.28421365	131620156.989492	130979857.12061414
16	131695937.23993166	131640350.2121265	131163232.91823824
17	131665214.24780864	131641076.77054334	130994499.15301868
18	131669290.03599444	131669781.39403322	130993507.1811246
19	131690092.57828853	131694347.41165408	131379501.88605893
20	131683308.22422044	131701666.06400315	131387668.76689129
21	131634096.14900936	131488685.4120369	131291531.15853618
22	131702057.05321866	131627845.22831737	130728619.89908578
23	131554411.69237795	131698236.16352037	130351494.59884824
24	131592868.26444788	131681774.01378132	131563041.89118987
25	131697320.46888436	131621693.2568346	130987490.92057969
26	131686514.68575975	131702436.60047804	131538992.11595358
27	131698192.06685212	131698786.3972853	131315093.24143513
28	131615043.30171975	131660065.44712111	131452752.8781292
29	131700819.21973585	131702442.57482786	131262635.39043944
